Data;ID AZ;Cow;Lattazione;GIM;Produz.;Grasso;Proteine;Urea;CN;BHB;SCC
01/10/2024;1281;IT015990490961;3;309;26,6;4,34;4,06;20,2;3,24;0,08;217
01/10/2024;332;IT015990315458;7;337;19,6;3,42;3,17;10,6;2,51;0,08;216
01/10/2024;1185;IT015990490865;4;40;23,2;4,49;4,05;14,1;3,26;0,09;215
01/10/2024;1546;IT015990553366;2;178;19,8;3,96;3,64;17,4;2,88;0,03;212
01/10/2024;1593;IT015990553413;2;215;29,4;4,13;3,69;11;2,99;;211
01/10/2024;1583;IT015990553403;2;289;22,5;3,49;3,7;12,3;2,91;0,11;204
01/10/2024;1308;IT015990490988;3;248;33,3;3,75;3,71;12,8;2,97;0,03;204
01/10/2024;878;IT015990436848;4;327;19,8;3,75;3,43;13,5;2,69;0,11;198
01/10/2024;1321;IT015990491001;3;223;26,2;3,82;3,52;13;2,78;0,1;192
01/10/2024;1221;IT015990490901;3;243;29,3;3,27;4,02;13;3,2;0,03;180
01/10/2024;1441;IT015990520481;2;234;32,5;3,48;3,28;13,3;2,61;0,04;175
01/10/2024;1794;IT015990581564;1;181;22,2;4,5;3,46;17,3;2,78;0,06;166
01/10/2024;1377;IT015990520417;2;276;27,3;5,21;3,76;20,3;3,02;0,02;165
01/10/2024;624;IT015990370664;6;208;29,2;4,07;3,49;14,4;2,79;0,06;160
01/10/2024;1633;IT015990553453;2;199;22;3,35;3,74;23,3;2,91;0,09;160
01/10/2024;1297;IT015990490977;3;111;36,1;3,71;3,21;9,6;2,57;0,05;158
01/10/2024;1349;IT015990520389;2;316;22,1;4,04;3,98;17,2;3,15;0,09;154
01/10/2024;1314;IT015990490994;3;242;30,1;3,83;3,97;18,9;3,15;0,02;153
01/10/2024;940;IT015990436910;4;299;25,3;4,56;3,75;23,1;2,99;0,05;152
01/10/2024;1103;IT015990451093;3;189;22,4;4,55;3,55;17;2,85;0,06;149
01/10/2024;1477;IT015990520517;2;44;33,6;4,85;2,79;14,7;2,16;0,06;149
01/10/2024;1153;IT015990490833;3;68;45,5;2,55;2,95;23,2;2,28;;145
01/10/2024;1145;IT015990490825;3;252;36,5;3,89;3,45;13;2,77;0,01;143
01/10/2024;1522;IT015990520562;1;55;10,9;4,5;3,52;15,4;2,8;0,12;141
01/10/2024;1600;IT015990553420;1;554;18,8;5,01;4,13;14,5;3,36;0,04;139
01/10/2024;1110;IT015990451100;3;393;27;5,08;3,78;16,5;3,03;0,03;133
01/10/2024;1143;IT015990490823;3;488;29,9;4,23;3,95;13,4;3,17;0,06;130
01/10/2024;1616;IT015990553436;2;230;24,1;3,62;3,81;8,2;3,04;0,05;129
01/10/2024;1241;IT015990490921;3;242;24,7;4,2;3,62;15,2;2,91;0,09;125
01/10/2024;1963;IT015990436933;5;73;34,7;4,05;2,75;13,3;2,14;0,04;123
01/10/2024;2260;IT015990490940;3;263;34,7;3,77;3,64;14,7;2,91;0,04;114
01/10/2024;1416;IT015990520456;2;407;17,4;4,03;3,78;20,8;3;0,09;114
01/10/2024;1303;IT015990490983;2;418;19,9;3,74;3,75;21,6;2,97;0,07;113
01/10/2024;1341;IT015990520381;3;258;30,5;3,64;3,58;11,4;2,91;0,02;108
01/10/2024;1375;IT015990520415;3;29;34,3;4,64;3,52;15,5;2,82;0,04;100
01/10/2024;1465;IT015990520505;2;210;33,3;3,38;3,58;19,5;2,84;0,04;86
01/10/2024;1400;IT015990520440;2;142;37,6;3,47;2,92;13,2;2,32;0,02;83
01/10/2024;1571;IT015990553391;2;289;28,7;4,14;3,68;10,4;2,96;0,03;83
01/10/2024;1443;IT015990520483;3;59;47,2;3,55;3,04;19,5;2,39;0,03;78
01/10/2024;1115;IT015990451105;4;60;33,9;5,34;2,98;17,6;2,4;0,06;76
01/10/2024;1713;IT015990553533;1;367;20,7;4,1;3,64;18,4;2,87;0,02;73
01/10/2024;730;IT015990415660;5;441;19;4,4;3,83;18,1;3,09;0,07;65
01/10/2024;1497;IT015990520537;2;284;19,2;4,93;4,27;19,3;3,46;0,03;64
01/10/2024;1436;IT015990520476;3;53;34,8;4,06;2,84;15,7;2,21;;56
01/10/2024;1363;IT015990520403;2;345;23,9;4,48;4,02;17,1;3,25;0,05;56
01/10/2024;1396;IT015990520436;3;33;41,1;4,02;2,99;15,1;2,35;0,05;49
01/10/2024;1530;IT015990553550;1;294;21,1;3,64;3,96;11,1;3,16;;48
01/10/2024;1843;IT015990581603;1;168;27,4;4,76;3,62;19,9;2,9;0,04;46
01/10/2024;1395;IT015990520435;2;439;26;5,3;3,76;21,4;3,06;0,03;45
01/10/2024;1170;IT015990490850;4;67;42,6;2,74;3,05;10,4;2,39;0,04;44
01/10/2024;1420;IT015990520460;2;317;22,6;4,44;3,46;17,1;2,83;0,07;42
